Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-01-04,16.074607,16.98,17.35,16.84,16.84,LFL,113400
2010-01-05,16.112475,17.02,17.309999,16.90,17.200001,LFL,180000
2010-01-06,16.00834,16.91,17.049999,16.879999,16.90,LFL,182700
2010-01-07,16.30181,17.219999,17.290001,16.719999,16.90,LFL,189800
2010-01-08,16.51008,17.440001,17.440001,17.219999,17.25,LFL,192300
2010-01-11,16.86035,17.809999,17.809999,17.51,17.530001,LFL,675200
2010-01-12,16.396478,17.32,17.610001,17.290001,17.610001,LFL,248800
2010-01-13,16.374442,17.09,17.290001,16.98,17.190001,LFL,351400
2010-01-14,16.259465,16.969999,17.139999,16.950001,17.139999,LFL,250400
2010-01-15,16.115746,16.82,16.91,16.58,16.83,LFL,359900
2010-01-19,16.28821,17.00,17.15,16.83,17.10,LFL,425500
2010-01-20,15.943283,16.639999,16.959999,16.360001,16.59,LFL,508000
2010-01-21,15.636681,16.32,16.879999,16.139999,16.66,LFL,552700
2010-01-22,15.655844,16.34,16.58,16.08,16.09,LFL,634500
2010-01-25,15.569613,16.25,16.60,16.200001,16.549999,LFL,381800
2010-01-26,15.349243,16.02,16.25,15.80,16.25,LFL,381700
2010-01-27,15.598357,16.280001,16.32,15.79,16.17,LFL,581000
2010-01-28,15.186361,15.85,16.35,15.60,16.35,LFL,421100
2010-01-29,15.7804,16.469999,16.709999,15.99,16.10,LFL,1601800
2010-02-01,15.972027,16.67,16.77,16.469999,16.77,LFL,603300
2010-02-02,15.981609,16.68,16.92,16.639999,16.90,LFL,442300
2010-02-03,15.617518,16.299999,16.530001,16.290001,16.440001,LFL,242000
2010-02-04,15.138454,15.80,16.50,15.79,16.27,LFL,849900
2010-02-05,15.502544,16.18,16.27,15.89,15.90,LFL,822000
2010-02-08,15.215105,15.88,16.370001,15.87,16.25,LFL,364700
2010-02-09,15.646263,16.33,16.35,16.059999,16.27,LFL,354300
2010-02-10,15.91454,16.610001,16.610001,16.309999,16.35,LFL,418800
2010-02-11,16.527743,17.25,17.26,16.59,16.59,LFL,756700
2010-02-12,16.681043,17.41,17.469999,16.82,17.15,LFL,235200
2010-02-16,16.652299,17.379999,17.41,17.209999,17.41,LFL,313400
2010-02-17,16.920576,17.66,17.68,17.35,17.450001,LFL,353400
2010-02-18,16.709788,17.440001,17.58,17.33,17.379999,LFL,362200
2010-02-19,16.556487,17.280001,17.40,17.18,17.40,LFL,168300
2010-02-22,16.681043,17.41,17.469999,16.93,17.280001,LFL,795500
2010-02-23,16.508579,17.23,17.309999,17.02,17.139999,LFL,463700
2010-02-24,16.508579,17.23,17.41,17.139999,17.309999,LFL,374100
2010-02-25,16.518161,17.24,17.25,17.059999,17.139999,LFL,582100
2010-02-26,17.045134,17.790001,17.84,17.200001,17.35,LFL,267600
2010-03-01,16.73853,17.469999,17.58,17.24,17.379999,LFL,504600
2010-03-02,16.66188,17.389999,17.83,17.33,17.49,LFL,328700
2010-03-03,16.652299,17.379999,17.59,17.25,17.389999,LFL,330300
2010-03-04,16.681043,17.41,17.469999,17.23,17.469999,LFL,406200
2010-03-05,16.939739,17.68,17.75,17.35,17.49,LFL,253800
2010-03-08,16.978063,17.719999,17.790001,17.65,17.75,LFL,155700
