Date,Adj_Close,Close,High,Low,Open,Symbol,Volume
2010-06-29,23.889999,23.889999,25.00,17.540001,19.00,TSLA,18766300
2010-06-30,23.83,23.83,30.42,23.299999,25.790001,TSLA,17187100
2010-07-01,21.959999,21.959999,25.92,20.27,25.00,TSLA,8218800
2010-07-02,19.200001,19.200001,23.10,18.709999,23.00,TSLA,5139800
2010-07-06,16.110001,16.110001,20.00,15.83,20.00,TSLA,6866900
2010-07-07,15.80,15.80,16.629999,14.98,16.40,TSLA,6921700
2010-07-08,17.459999,17.459999,17.52,15.57,16.139999,TSLA,7711400
2010-07-09,17.40,17.40,17.90,16.549999,17.58,TSLA,4050600
2010-07-12,17.049999,17.049999,18.07,17.00,17.950001,TSLA,2202500
2010-07-13,18.139999,18.139999,18.639999,16.90,17.389999,TSLA,2680100
2010-07-14,19.84,19.84,20.15,17.76,17.940001,TSLA,4195200
2010-07-15,19.889999,19.889999,21.50,19.00,19.940001,TSLA,3739800
2010-07-16,20.639999,20.639999,21.299999,20.049999,20.700001,TSLA,2621300
2010-07-19,21.91,21.91,22.25,20.92,21.370001,TSLA,2486500
2010-07-20,20.299999,20.299999,21.85,20.049999,21.85,TSLA,1825300
2010-07-21,20.219999,20.219999,20.90,19.50,20.66,TSLA,1252500
2010-07-22,21.00,21.00,21.25,20.370001,20.50,TSLA,957800
2010-07-23,21.290001,21.290001,21.559999,21.059999,21.190001,TSLA,653600
2010-07-26,20.950001,20.950001,21.50,20.299999,21.50,TSLA,922200
2010-07-27,20.549999,20.549999,21.18,20.26,20.91,TSLA,619700
2010-07-28,20.719999,20.719999,20.90,20.51,20.549999,TSLA,467200
2010-07-29,20.35,20.35,20.879999,20.00,20.77,TSLA,616000
2010-07-30,19.940001,19.940001,20.440001,19.549999,20.200001,TSLA,426900
2010-08-02,20.92,20.92,20.969999,20.33,20.50,TSLA,718100
2010-08-03,21.950001,21.950001,21.950001,20.82,21.00,TSLA,1230500
2010-08-04,21.26,21.26,22.18,20.85,21.950001,TSLA,913000
2010-08-05,20.450001,20.450001,21.549999,20.049999,21.540001,TSLA,796200
2010-08-06,19.59,19.59,20.16,19.52,20.10,TSLA,741900
2010-08-09,19.60,19.60,19.98,19.450001,19.90,TSLA,812700
2010-08-10,19.030001,19.030001,19.65,18.82,19.65,TSLA,1281300
2010-08-11,17.90,17.90,18.879999,17.85,18.690001,TSLA,797600
2010-08-12,17.60,17.60,17.90,17.389999,17.799999,TSLA,691000
2010-08-13,18.32,18.32,18.450001,17.66,18.18,TSLA,634000
2010-08-16,18.780001,18.780001,18.799999,18.26,18.450001,TSLA,485800
2010-08-17,19.15,19.15,19.40,18.780001,18.959999,TSLA,447900
2010-08-18,18.77,18.77,19.59,18.60,19.59,TSLA,601300
2010-08-19,18.790001,18.790001,19.25,18.33,18.540001,TSLA,579100
2010-08-20,19.10,19.10,19.110001,18.51,18.65,TSLA,296000
2010-08-23,20.129999,20.129999,20.389999,19.00,19.09,TSLA,1088100
2010-08-24,19.200001,19.200001,19.709999,18.950001,19.25,TSLA,673100
2010-08-25,19.90,19.90,19.98,18.559999,19.16,TSLA,503300
2010-08-26,19.75,19.75,20.27,19.60,19.889999,TSLA,433800
2010-08-27,19.700001,19.700001,19.870001,19.50,19.75,TSLA,379600
2010-08-30,19.870001,19.870001,20.190001,19.610001,19.700001,TSLA,732800
2010-08-31,19.48,19.48,19.790001,19.33,19.66,TSLA,201100
2010-09-01,20.450001,20.450001,20.690001,19.60,19.620001,TSLA,494900
